# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.73350057313089556	-0.2638099304028626	-2.1635738261931472
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
raw-covariance-spherical-candidate	2	4	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.5165925138	328657.4373421183	-49.547549483229581	-49.547549483229581	6535283.5165925138	328657.4373421183				
incremental-md-incl-az-candidate	2	4	False	1.5507440806805661E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.54447826823241	-49.54447826823241	0.021032904458414485	5.8545856357527573	6535283.5165925138	328657.4373421183	-49.547549483229581	-49.547549483229581	6535283.5165925138	328657.4373421183	0.00050492476348877992	0.00050492476348877992	0	0.43805215510638096
raw-covariance-spherical-candidate	2	5	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.4820612743	328657.36662458041	-48.897596207147082	-48.897596207147082	6535283.4820612743	328657.36662458041				
incremental-md-incl-az-candidate	2	5	False	1.5019436955809873E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-48.89450243572486	-48.89450243572486	0.020947205694879477	5.6760796490861676	6535283.4820612743	328657.36662458041	-48.897596207147082	-48.897596207147082	6535283.4820612743	328657.36662458041	0.00049514145680603782	0.00049514145680603782	0	0.44307477816414187
raw-covariance-spherical-candidate	2	6	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.3314260114	328657.5429592274	-48.895903190782128	-48.895903190782128	6535283.3314260114	328657.5429592274				
incremental-md-incl-az-candidate	2	6	False	1.5034603374264321E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-48.895094389421075	-48.895094389421075	0.010710319886430101	5.9390354559029328	6535283.3314260114	328657.5429592274	-48.895903190782128	-48.895903190782128	6535283.3314260114	328657.5429592274	0.00025316969112328753	0.00025316969112328753	0	0.22654737029513553
raw-covariance-spherical-candidate	2	7	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.5209727567	328657.43484367226	-48.897596207147409	-48.897596207147409	6535283.5209727567	328657.43484367226				
incremental-md-incl-az-candidate	2	7	False	1.5019436861107849E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-48.894502435733131	-48.894502435733131	0.020947205667740974	5.8535653912738077	6535283.5209727567	328657.43484367226	-48.897596207147409	-48.897596207147409	6535283.5209727567	328657.43484367226	0.00049514145616464571	0.00049514145616464571	0	0.44307477759434771
incremental-md-incl-az-candidate-selected	2	7	True	1.5019436861107849E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-48.894502435733131	-48.894502435733131	0.020947205667740974	5.8535653912738077	6535283.5209727567	328657.43484367226	-48.897596207147409	-48.897596207147409	6535283.5209727567	328657.43484367226	0.00049514145616464571	0.00049514145616464571	0	0.44307477759434771
incremental-md-incl-az-selected	2		True	0.00099032521705340001	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-48.894502435733131	-48.894502435733131	0.020947205667740974	5.8535653912738077	6535283.5209727567	328657.43484367226	-48.897596207147409	-48.897596207147409	6535283.5209727567	328657.43484367226	0.00049514145616464571	0.00049514145616464571	0	0.44307477759434771
