1300,000	46,220	99,880	1206,200	-187,240	290,530	2,200	2,180	0,470	371,966
1320,000	48,030	100,120	1219,800	-189,790	304,960	2,730	2,720	0,360	386,622
1340,000	49,670	99,870	1232,960	-192,400	319,790	2,480	2,460	-0,370	401,682
1360,000	50,970	99,370	1245,730	-194,970	334,970	2,030	1,950	-0,750	417,074
1380,000	51,740	98,940	1258,220	-197,460	350,390	1,260	1,160	-0,640	432,694
1400,000	52,060	98,330	1270,560	-199,820	365,950	0,870	0,480	-0,920	448,433
1420,000	52,930	97,480	1282,740	-202,000	381,660	1,650	1,310	-1,280	464,298
1440,000	54,320	97,000	1294,600	-204,030	397,640	2,160	2,080	-0,720	480,401
1460,000	55,520	96,770	1306,100	-205,990	413,890	1,820	1,800	-0,340	496,768
1480,000	56,690	96,620	1317,250	-207,920	430,370	1,760	1,760	-0,220	513,368
1500,000	58,330	96,310	1327,990	-209,820	447,140	2,490	2,460	-0,470	530,238
1520,000	60,220	95,240	1338,210	-211,550	464,240	3,150	2,840	-1,610	547,429
1540,000	61,150	93,440	1348,000	-212,870	481,630	2,740	1,400	-2,700	564,867
1560,000	61,910	91,200	1357,540	-213,580	499,190	3,170	1,140	-3,360	582,446
1580,000	62,320	89,240	1366,890	-213,650	516,870	2,670	0,620	-2,940	600,123
1600,000	62,000	87,250	1376,230	-213,110	534,550	2,680	-0,480	-2,980	617,806
1620,000	63,080	85,660	1385,460	-212,010	552,260	2,670	1,620	-2,390	635,552
1640,000	63,320	86,430	1394,470	-210,780	570,070	1,090	0,360	1,160	653,404
1660,000	63,070	87,660	1403,490	-209,860	587,890	1,690	-0,380	1,840	671,254
1680,000	61,210	88,970	1412,840	-209,340	605,570	3,290	-2,790	1,970	688,934
1700,000	59,960	90,330	1422,660	-209,230	622,990	2,580	-1,880	2,040	706,355
1720,000	58,400	91,510	1432,910	-209,500	640,160	2,790	-2,340	1,770	723,530
1740,000	57,960	92,220	1443,450	-210,050	657,140	1,120	-0,660	1,060	740,524
1760,000	57,610	93,970	1454,120	-210,970	674,040	2,280	-0,520	2,620	757,444
1780,000	57,070	96,240	1464,910	-212,460	690,810	2,980	-0,810	3,410	774,280
1800,000	57,680	97,930	1475,690	-214,540	707,520	2,320	0,920	2,540	791,123
1820,000	58,630	99,260	1486,250	-217,080	724,320	2,210	1,430	2,000	808,112
1840,000	58,310	100,780	1496,710	-220,050	741,110	2,000	-0,480	2,280	825,158
1860,000	58,140	102,570	1507,240	-223,490	757,760	2,300	-0,260	2,680	842,160
1880,000	58,920	104,000	1517,680	-227,410	774,360	2,170	1,170	2,150	859,217
1900,000	59,890	104,840	1527,860	-231,700	791,030	1,810	1,460	1,260	876,433
1920,000	60,070	106,990	1537,870	-236,450	807,680	2,810	0,270	3,220	893,748
1940,000	60,570	108,780	1547,770	-241,780	824,220	2,450	0,750	2,690	911,123
1960,000	60,930	111,090	1557,540	-247,730	840,620	3,070	0,540	3,470	928,571
1980,000	61,350	113,230	1567,200	-254,340	856,840	2,880	0,630	3,210	946,086
2000,000	61,280	116,360	1576,800	-261,700	872,770	4,120	-0,100	4,690	963,628
